game_date_est,Start (ET),team_abbreviation_away,away_full_name (depr),away_full_name,away_city,team_nickname_away,team_wins_losses_away,pts_away,team_abbreviation_home,home_full_name (depr),home_full_name,home_city,team_nickname_home,team_wins_losses_home,pts_home,,,Attend.,Arena,Notes
2023-03-13,7:00p,IND,Indiana Pacers,Indiana Pacers,Indiana,Pacers,31-38,97,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-53,117,Box Score,,18313,Little Caesars Arena,
2023-03-13,7:30p,MIN,Minnesota Timberwolves,Minnesota Timberwolves,Minnesota,Timberwolves,35-34,136,ATL,Atlanta Hawks,Atlanta Hawks,Atlanta,Hawks,34-35,115,Box Score,,17799,State Farm Arena,
2023-03-13,7:30p,MEM,Memphis Grizzlies,Memphis Grizzlies,Memphis,Grizzlies,41-26,104,DAL,Dallas Mavericks,Dallas Mavericks,Dallas,Mavericks,34-35,88,Box Score,,20303,American Airlines Center,
2023-03-13,7:30p,UTA,Utah Jazz,Utah Jazz,Utah,Jazz,33-36,115,MIA,Miami Heat,Miami Heat,Miami,Heat,37-33,119,Box Score,,19721,FTX Arena,
2023-03-13,8:00p,BOS,Boston Celtics,Boston Celtics,Boston,Celtics,47-22,109,HOU,Houston Rockets,Houston Rockets,Houston,Rockets,16-52,111,Box Score,,18055,Toyota Center,
2023-03-13,10:00p,PHX,Phoenix Suns,Phoenix Suns,Phoenix,Suns,37-31,112,GSW,GoldenState Warriors,Golden State Warriors,Golden State,Warriors,36-33,123,Box Score,,18064,Chase Center,
2023-03-13,10:00p,MIL,Milwaukee Bucks,Milwaukee Bucks,Milwaukee,Bucks,49-19,133,SAC,Sacramento Kings,Sacramento Kings,Sacramento,Kings,40-27,124,Box Score,,18111,Golden 1 Center,
2023-03-14,7:00p,CLE,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,Cavaliers,44-27,120,CHA,Charlotte Hornets,Charlotte Hornets,Charlotte,Hornets,22-49,104,Box Score,,14690,Spectrum Center,
2023-03-14,7:00p,DET,Detroit Pistons,Detroit Pistons,Detroit,Pistons,16-54,97,WAS,Washington Wizards,Washington Wizards,Washington,Wizards,32-37,117,Box Score,,15279,Capital One Arena,
2023-03-14,7:30p,DEN,Denver Nuggets,Denver Nuggets,Denver,Nuggets,46-23,110,TOR,Toronto Raptors,Toronto Raptors,Toronto,Raptors,33-36,125,Box Score,,19800,Scotiabank Arena,
2023-03-14,8:00p,LAL,LosAngeles Lakers,Los Angeles Lakers,Los Angeles,Lakers,34-35,123,NOP,NewOrleans Pelicans,New Orleans Pelicans,New Orleans,Pelicans,33-36,108,Box Score,,18625,Smoothie King Center,
2023-03-14,8:00p,BKN,Brooklyn Nets,Brooklyn Nets,Brooklyn,Nets,39-30,107,OKC,OklahomaCity Thunder,Oklahoma City Thunder,Oklahoma City,Thunder,34-35,121,Box Score,,16976,Paycom Center,
2023-03-14,8:00p,ORL,Orlando Magic,Orlando Magic,Orlando,Magic,28-41,114,SAS,SanAntonio Spurs,San Antonio Spurs,San Antonio,Spurs,18-50,132,Box Score,,13708,AT&T Center,
